@relation InstanceResultListener

@attribute Key_Dataset {'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.Logistic,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.RBFNetwork,weka.classifiers.trees.J48,weka.classifiers.rules.JRip,weka.classifiers.functions.SMO,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-D,'-R 1.0E-8 -M -1','-L 0.4 -M 0.9 -N 500 -V 0 -S 0 -E 20 -H a','-B 1 -S 1 -R 1.0E-10 -M 3 -W 0.05','-C 0.25 -M 2','-F 3 -N 2.0 -O 2 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"','-P 100 -S 1 -I 15 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {-3080186098777067172,5995231201785697655,3932117032546553727,-5990607817048210779,-3669814959712675720,-217733168393644444,-6589312996832147161,-6585883636378691736,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 139\nSize of the tree: 207\n','Number of leaves: 118\nSize of the tree: 175\n','Number of leaves: 121\nSize of the tree: 186\n','Number of leaves: 119\nSize of the tree: 177\n','Number of leaves: 120\nSize of the tree: 184\n','Number of leaves: 140\nSize of the tree: 209\n','Number of leaves: 118\nSize of the tree: 180\n','Number of leaves: 140\nSize of the tree: 214\n','Number of leaves: 131\nSize of the tree: 191\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1',1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0357,465,52,11,41,0,21.153846,78.846154,0,0.09238,0.175637,0.414635,90.744364,133.261203,157.505948,364.708601,-207.202654,3.028961,7.013627,-3.984666,23.622923,0.454287,778.32277,0.166667,1,0.152174,7,0.847826,39,0.833333,5,0.125,0.166667,0.142857,0.012833,0.507246,0.116987,0.211538,0.118478,0.881522,0.788462,0.253663,0.211538,0.218706,0.110418,0.54653,0.162424,0.182168,0.211538,0.001,0.002,0,0,0,0,66202,64313,9384,21.153846,11.111111,?,?,?,?
'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1',1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0357,465,52,17,35,0,32.692308,67.307692,0,0.224872,0.150488,0.383155,77.826713,123.278812,156.992962,312.509723,-155.51676,3.019095,6.009802,-2.990707,43.85831,0.843429,1444.531512,0.166667,1,0.108696,5,0.891304,41,0.833333,5,0.166667,0.166667,0.166667,0.057971,0.538043,0.125817,0.326923,0.102565,0.897435,0.673077,0.313464,0.326923,0.318456,0.217824,0.60779,0.238667,0.358278,0.326923,0,0.001,0,0,0,0,66202,64313,9384,32.692308,11.111111,?,?,?,?
'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1',1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0357,465,52,13,39,0,25,75,0,0.142132,0.167253,0.404398,86.496946,130.113582,156.992962,346.980229,-189.987267,3.019095,6.672697,-3.653601,32.388298,0.622852,1066.751471,0,0,0.108696,5,0.891304,41,1,6,0,0,0,-0.117797,0.445652,0.115385,0.25,0.110149,0.889851,0.75,0.201099,0.25,0.217663,0.111707,0.569925,0.204416,0.250028,0.25,0,0.002,0,0,0,0,66202,64313,9384,25,11.111111,?,?,?,?
'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1',1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0357,465,52,18,34,0,34.615385,65.384615,0,0.248299,0.146291,0.377592,75.656269,121.488939,156.992962,302.659298,-145.666336,3.019095,5.820371,-2.801276,48.197763,0.92688,1587.457129,0.333333,2,0.086957,4,0.913043,42,0.666667,4,0.333333,0.333333,0.333333,0.246377,0.623188,0.188034,0.346154,0.100057,0.899943,0.653846,0.353365,0.346154,0.343956,0.248032,0.623048,0.219391,0.4,0.346154,0,0.002,0,0,0,0,66202,64313,9384,34.615385,11.111111,?,?,?,?
'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1',1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0357,465,52,18,34,0,34.615385,65.384615,0,0.255265,0.146291,0.377592,75.536521,121.27312,159.024487,302.659298,-143.634811,3.058163,5.820371,-2.762208,44.89135,0.863295,1480.628865,0.166667,1,0.021739,1,0.978261,45,0.833333,5,0.5,0.166667,0.25,0.240772,0.572464,0.179487,0.346154,0.085483,0.914517,0.653846,0.398466,0.346154,0.350428,0.276966,0.630335,0.234945,0.292408,0.346154,0,0.001,0,0.01,0,10,66202,64313,9384,34.615385,11.111111,?,?,?,?
'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1',1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0357,465,52,18,34,0,34.615385,65.384615,0,0.246698,0.146291,0.377592,75.536521,121.27312,159.024487,302.659298,-143.634811,3.058163,5.820371,-2.762208,44.993836,0.865266,1484.009085,0.166667,1,0.173913,8,0.826087,38,0.833333,5,0.111111,0.166667,0.133333,-0.00612,0.496377,0.114672,0.346154,0.098166,0.901834,0.653846,0.329123,0.346154,0.332209,0.241149,0.623994,0.243533,0.280133,0.346154,0,0.001,0,0,0,0,66202,64313,9384,34.615385,11.111111,?,?,?,?
'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1',1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0357,465,52,14,38,0,26.923077,73.076923,0,0.153747,0.16306,0.399181,84.269872,128.334688,158.461704,338.116043,-179.654338,3.04734,6.502232,-3.454891,32.652833,0.627939,1076.537853,0.666667,4,0.152174,7,0.847826,39,0.333333,2,0.363636,0.666667,0.470588,0.402481,0.757246,0.280886,0.269231,0.115401,0.884599,0.730769,0.328703,0.269231,0.255236,0.169571,0.576915,0.198469,0.205636,0.269231,0,0.002,0,0,0,0,66202,64313,9384,26.923077,11.111111,?,?,?,?
'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1',1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0357,466,51,15,36,0,29.411765,70.588235,0,0.179625,0.157601,0.392385,81.62937,126.464068,153.135718,321.445868,-168.310149,3.002661,6.30286,-3.300199,36.319586,0.712149,1195.531374,0.5,3,0.066667,3,0.933333,42,0.5,3,0.5,0.5,0.5,0.433333,0.727778,0.311224,0.294118,0.117259,0.882741,0.705882,0.323537,0.294118,0.29208,0.188401,0.592973,0.229867,0.245388,0.294118,0,0.002,0,0,0,0,66335,64446,9251,29.411765,11.111111,?,?,?,?
'forestfires-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1',1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0357,466,51,19,32,0,37.254902,62.745098,0,0.276275,0.140539,0.369956,72.677871,119.025251,154.006138,285.98894,-131.982802,3.019728,5.607626,-2.587898,49.891587,0.978266,1643.294958,0.166667,1,0.111111,5,0.888889,40,0.833333,5,0.166667,0.166667,0.166667,0.055556,0.537037,0.127778,0.372549,0.097797,0.902203,0.627451,0.446946,0.372549,0.387991,0.304403,0.63316,0.277598,0.358028,0.372549,0,0.001,0,0,0,0,66335,64446,9251,37.254902,11.111111,?,?,?,?
