@relation InstanceResultListener

@attribute Key_Dataset {flag}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.Logistic,weka.classifiers.trees.J48,weka.classifiers.rules.JRip,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.RBFNetwork,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-D,'-R 1.0E-8 -M -1','-C 0.25 -M 2','-F 3 -N 2.0 -O 2 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"','-L 0.4 -M 0.9 -N 500 -V 0 -S 0 -E 20 -H a','-B 1 -S 1 -R 1.0E-10 -M 3 -W 0.05','-P 100 -S 5 -I 15 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {-3080186098777067172,5995231201785697655,3932117032546553727,-217733168393644444,-6589312996832147161,-6585883636378691736,-5990607817048210779,-3669814959712675720,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 32\nSize of the tree: 51\n','Number of leaves: 35\nSize of the tree: 51\n','Number of leaves: 42\nSize of the tree: 65\n','Number of leaves: 49\nSize of the tree: 73\n','Number of leaves: 33\nSize of the tree: 47\n','Number of leaves: 45\nSize of the tree: 65\n','Number of leaves: 38\nSize of the tree: 63\n','Number of leaves: 37\nSize of the tree: 61\n','Number of leaves: 24\nSize of the tree: 41\n','Number of leaves: 40\nSize of the tree: 61\n','Number of leaves: 34\nSize of the tree: 55\n','Number of leaves: 33\nSize of the tree: 53\n','Number of leaves: 40\nSize of the tree: 55\n','Number of leaves: 39\nSize of the tree: 59\n','Number of leaves: 36\nSize of the tree: 53\n','Number of leaves: 31\nSize of the tree: 49\n','Number of leaves: 37\nSize of the tree: 55\n','Number of leaves: 48\nSize of the tree: 71\n','Number of leaves: 47\nSize of the tree: 75\n','Number of leaves: 46\nSize of the tree: 73\n','Number of leaves: 45\nSize of the tree: 71\n','Number of leaves: 43\nSize of the tree: 67\n','Number of leaves: 46\nSize of the tree: 67\n','Number of leaves: 43\nSize of the tree: 61\n','Number of leaves: 41\nSize of the tree: 63\n','Number of leaves: 42\nSize of the tree: 59\n','Number of leaves: 30\nSize of the tree: 47\n','Number of leaves: 29\nSize of the tree: 51\n','Number of leaves: 41\nSize of the tree: 69\n','Number of leaves: 36\nSize of the tree: 59\n','Number of leaves: 44\nSize of the tree: 69\n','Number of leaves: 38\nSize of the tree: 57\n','Number of leaves: 29\nSize of the tree: 45\n','Number of leaves: 35\nSize of the tree: 57\n','Number of leaves: 32\nSize of the tree: 57\n','Number of leaves: 35\nSize of the tree: 63\n','Number of leaves: 55\nSize of the tree: 85\n','Number of leaves: 34\nSize of the tree: 61\n','Number of leaves: 31\nSize of the tree: 55\n','Number of leaves: 47\nSize of the tree: 69\n','Number of leaves: 34\nSize of the tree: 49\n','Number of leaves: 50\nSize of the tree: 75\n','Number of leaves: 33\nSize of the tree: 59\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

flag,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150913.2233,174,20,13,7,0,65,35,0,0.546926,0.093269,0.289595,48.743719,93.91043,46.005946,53.290148,-7.284202,2.300297,2.664507,-0.36421,25.903174,1.295159,1081.385202,0.571429,4,0.153846,2,0.846154,11,0.428571,3,0.666667,0.571429,0.615385,0.434634,0.708791,0.530952,0.65,0.099679,0.900321,0.35,0.655833,0.65,0.643162,0.544664,0.77516,0.553333,0.584046,0.65,0.002,0.016,0,0.02,0,20,57503,55010,13584,65,12.5,?,?,?,?
flag,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150913.2233,174,20,13,7,0,65,35,0,0.531773,0.093269,0.289595,48.743719,93.91043,46.005946,53.290148,-7.284202,2.300297,2.664507,-0.36421,24.577164,1.228858,1026.027996,0.571429,4,0.153846,2,0.846154,11,0.428571,3,0.666667,0.571429,0.615385,0.434634,0.708791,0.530952,0.65,0.123144,0.876856,0.35,0.597222,0.65,0.598718,0.514139,0.763428,0.522222,0.47558,0.65,0.001,0.011,0,0.01,0,10,57503,55010,13584,65,12.5,?,?,?,?
flag,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150913.2233,174,20,11,9,0,55,45,0,0.359431,0.11717,0.328278,61.081275,106.157178,48.175871,68.192571,-20.016699,2.408794,3.409629,-1.000835,18.242573,0.912129,764.971969,0.857143,6,0.538462,7,0.461538,6,0.142857,1,0.461538,0.857143,0.6,0.318681,0.659341,0.445604,0.55,0.213462,0.786538,0.45,0.611538,0.55,0.519524,0.399701,0.668269,0.423462,0.389683,0.55,0,0.011,0,0.01,0,10,57503,55010,13584,55,12.5,?,?,?,?
flag,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150913.2233,174,20,11,9,0,55,45,0,0.417476,0.11717,0.328278,60.950339,105.90006,48.918483,68.192571,-19.274087,2.445924,3.409629,-0.963704,19.717715,0.985886,828.350516,0.571429,4,0.153846,2,0.846154,11,0.428571,3,0.666667,0.571429,0.615385,0.434634,0.708791,0.530952,0.55,0.115908,0.884092,0.45,0.563333,0.55,0.554274,0.436735,0.717046,0.475833,0.408547,0.55,0.001,0.004,0,0,0,0,57503,55010,13584,55,12.5,?,?,?,?
flag,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150913.2233,175,19,7,12,0,36.842105,63.157895,0,0.173913,0.160555,0.388846,84.64746,127.348292,42.560887,90.582276,-48.021388,2.240047,4.767488,-2.527441,11.018852,0.57994,458.883865,0.142857,1,0.25,3,0.75,9,0.857143,6,0.25,0.142857,0.181818,-0.126773,0.446429,0.351504,0.368421,0.208897,0.791103,0.631579,0.340643,0.368421,0.322625,0.139259,0.579762,0.328332,0.292208,0.368421,0,0.004,0,0,0,0,57772,55279,13315,36.842105,12.5,?,?,?,?
flag,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150913.2233,175,19,12,7,0,63.157895,36.842105,0,0.501873,0.097642,0.297133,51.478393,97.311874,42.560887,53.285118,-10.72423,2.240047,2.80448,-0.564433,22.247646,1.170929,926.510859,0.571429,4,0.166667,2,0.833333,10,0.428571,3,0.666667,0.571429,0.615385,0.420041,0.702381,0.538847,0.631579,0.12523,0.87477,0.368421,0.601754,0.631579,0.612154,0.494423,0.753175,0.540259,0.49482,0.631579,0.001,0.004,0.01,0,10,0,57772,55279,13315,63.157895,12.5,?,?,?,?
flag,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150913.2233,175,19,13,6,0,68.421053,31.578947,0,0.568182,0.085059,0.275146,44.307116,88.897849,47.111873,45.825686,1.286187,2.479572,2.411878,0.067694,22.895832,1.205044,962.460141,0.714286,5,0.166667,2,0.833333,10,0.285714,2,0.714286,0.714286,0.714286,0.547619,0.77381,0.615467,0.684211,0.117544,0.882456,0.315789,0.55188,0.684211,0.603402,0.526012,0.783333,0.532093,0.388408,0.684211,0.001,0.003,0,0.01,0,10,57772,55279,13315,68.421053,12.5,?,?,?,?
flag,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150913.2233,175,19,16,3,0,84.210526,15.789474,0,0.785714,0.047311,0.194826,24.718257,63.156641,43.941948,23.447391,20.494556,2.312734,1.234073,1.078661,32.367023,1.703528,1352.240159,1,7,0.166667,2,0.833333,10,0,0,0.777778,1,0.875,0.805076,0.916667,0.777778,0.842105,0.064327,0.935673,0.157895,0.839181,0.842105,0.818609,0.792168,0.888889,0.753309,0.677579,0.842105,0.001,0.003,0,0,0,0,57772,55279,13315,84.210526,12.5,?,?,?,?
flag,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150913.2233,175,19,12,7,0,63.157895,36.842105,0,0.539792,0.097642,0.297133,51.014275,96.321453,43.941948,53.285118,-9.34317,2.312734,2.80448,-0.491746,24.213895,1.274416,1011.616084,0.428571,3,0.083333,1,0.916667,11,0.571429,4,0.75,0.428571,0.545455,0.408491,0.672619,0.531955,0.631579,0.07408,0.92592,0.368421,0.714912,0.631579,0.644566,0.570634,0.77875,0.583795,0.600433,0.631579,0.001,0.003,0,0,0,0,57772,55279,13315,63.157895,12.5,?,?,?,?
