@relation InstanceResultListener

@attribute Key_Dataset {glass}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.Logistic,weka.classifiers.trees.J48,weka.classifiers.rules.JRip,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.RBFNetwork,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-D,'-R 1.0E-8 -M -1','-C 0.25 -M 2','-F 3 -N 2.0 -O 2 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"','-L 0.4 -M 0.9 -N 500 -V 0 -S 0 -E 20 -H a','-B 1 -S 1 -R 1.0E-10 -M 3 -W 0.05','-P 100 -S 5 -I 15 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {-3080186098777067172,5995231201785697655,3932117032546553727,-217733168393644444,-6589312996832147161,-6585883636378691736,-5990607817048210779,-3669814959712675720,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

glass,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150912.2229,192,22,22,0,0,100,0,0,1,0.008615,0.012309,4.070305,3.795114,48.002519,0.971687,47.030832,2.181933,0.044168,2.137765,47.030832,2.137765,2102.311473,1,7,0,0,1,15,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.002,0,0,0,0,25852,24051,4161,100,14.285714,?,?,?,?
glass,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150912.2229,192,22,19,3,0,86.363636,13.636364,0,0.816156,0.046205,0.194273,21.831637,59.898377,48.002519,23.749058,24.253461,2.181933,1.079503,1.10243,38.193135,1.736052,1707.26018,1,7,0,0,1,15,0,0,1,1,1,1,1,1,0.863636,0.030303,0.969697,0.136364,0.909091,0.863636,0.866667,0.844377,0.916667,0.805269,0.779167,0.863636,0,0.001,0,0,0,0,25852,24051,4161,86.363636,14.285714,?,?,?,?
glass,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150912.2229,192,22,21,1,0,95.454545,4.545455,0,0.938202,0.021145,0.112613,9.990749,34.720893,48.002519,8.564144,39.438375,2.181933,0.389279,1.792653,42.548799,1.934036,1901.961424,1,7,0,0,1,15,0,0,1,1,1,1,1,1,0.954545,0.002165,0.997835,0.045455,0.931818,0.954545,0.939394,0.940458,0.97619,0.933884,0.777778,0.954545,0,0.001,0,0,0,0,25852,24051,4161,95.454545,14.285714,?,?,?,?
glass,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150912.2229,192,22,21,1,0,95.454545,4.545455,0,0.938028,0.021145,0.112613,9.990749,34.720893,48.002519,8.564144,39.438375,2.181933,0.389279,1.792653,44.885834,2.040265,2006.428541,0.857143,6,0,0,1,15,0.142857,1,1,0.857143,0.923077,0.896421,0.928571,0.902597,0.954545,0.025974,0.974026,0.045455,0.959596,0.954545,0.954134,0.933775,0.964286,0.928604,0.977376,0.954545,0,0.001,0,0,0,0,25852,24051,4161,95.454545,14.285714,?,?,?,?
glass,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150912.2229,193,21,20,1,0,95.238095,4.761905,0,0.932039,0.021701,0.115236,10.357143,35.935598,44.430294,8.522723,35.907571,2.115728,0.405844,1.709884,39.874109,1.898767,1777.003529,1,7,0,0,1,14,0,0,1,1,1,1,1,1,0.952381,0.029304,0.970696,0.047619,0.910053,0.952381,0.929972,0.916503,0.961538,0.91232,0.823529,0.952381,0,0.001,0,0,0,0,25969,24168,4044,95.238095,14.285714,?,?,?,?
glass,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150912.2229,193,21,18,3,0,85.714286,14.285714,0,0.806154,0.047959,0.198841,22.88961,62.007479,44.430294,23.722549,20.707745,2.115728,1.129645,0.986083,33.876689,1.613176,1509.726397,1,7,0,0,1,14,0,0,1,1,1,1,1,1,0.857143,0.007143,0.992857,0.142857,0.916667,0.857143,0.869841,0.859821,0.925,0.848639,0.688889,0.857143,0,0.001,0,0,0,0,25969,24168,4044,85.714286,14.285714,?,?,?,?
glass,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150912.2229,193,21,19,2,0,90.47619,9.52381,0,0.873874,0.03483,0.162507,16.352603,49.747866,46.924024,16.122636,30.801388,2.234477,0.767745,1.466733,39.81934,1.896159,1784.405489,1,7,0,0,1,14,0,0,1,1,1,1,1,1,0.904762,0.010317,0.989683,0.095238,0.940476,0.904762,0.906332,0.897784,0.947222,0.865646,0.852259,0.904762,0,0.001,0,0,0,0,25969,24168,4044,90.47619,14.285714,?,?,?,?
glass,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150912.2229,193,21,19,2,0,90.47619,9.52381,0,0.869565,0.03483,0.162507,16.384,49.855011,46.181411,16.122636,30.058775,2.199115,0.767745,1.43137,38.498604,1.833267,1722.144902,1,7,0,0,1,14,0,0,1,1,1,1,1,1,0.904762,0.028822,0.971178,0.095238,0.910714,0.904762,0.901587,0.885172,0.93797,0.850624,0.846667,0.904762,0,0.001,0,0,0,0,25969,24168,4044,90.47619,14.285714,?,?,?,?
glass,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150912.2229,193,21,19,2,0,90.47619,9.52381,0,0.874251,0.03483,0.162507,16.300541,49.571915,47.661439,16.122636,31.538803,2.269592,0.767745,1.501848,40.164558,1.912598,1802.85314,1,7,0,0,1,14,0,0,1,1,1,1,1,1,0.904762,0.010025,0.989975,0.095238,0.888889,0.904762,0.888645,0.878089,0.947368,0.85941,0.753846,0.904762,0,0,0,0,0,0,25969,24168,4044,90.47619,14.285714,?,?,?,?
