@relation InstanceResultListener

@attribute Key_Dataset {'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.Logistic,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.RBFNetwork,weka.classifiers.trees.J48,weka.classifiers.rules.JRip,weka.classifiers.functions.SMO,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-D,'-R 1.0E-8 -M -1','-L 0.4 -M 0.9 -N 500 -V 0 -S 0 -E 20 -H a','-B 1 -S 1 -R 1.0E-10 -M 3 -W 0.05','-C 0.25 -M 2','-F 3 -N 2.0 -O 2 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"','-P 100 -S 5 -I 15 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {-3080186098777067172,5995231201785697655,3932117032546553727,-5990607817048210779,-3669814959712675720,-217733168393644444,-6589312996832147161,-6585883636378691736,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 97\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1',1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,304,34,2,32,0,5.882353,94.117647,0,0.026834,0.062898,0.239519,97.612974,133.400028,167.158184,268.540615,-101.382431,4.916417,7.898253,-2.981836,7.401334,0.217686,151.324246,0,0,0.030303,1,0.969697,32,1,1,0,0,0,-0.030303,0.484848,0.029412,0.058824,0.031361,0.968639,0.941176,0.034314,0.058824,0.043137,0.020684,0.513731,0.058247,0.035556,0.058824,0.001,0,0,0,0,0,52603,50438,8048,52.941176,46.666667,?,?,?,?
'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1',1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,304,34,2,32,0,5.882353,94.117647,0,0.027703,0.062898,0.239519,97.630764,133.426802,166.873123,268.540615,-101.667492,4.908033,7.898253,-2.99022,8.588631,0.252607,175.572111,0,0,0.090909,3,0.909091,30,1,1,0,0,0,-0.054153,0.454545,0.029412,0.058824,0.031361,0.968639,0.941176,0.058824,0.058824,0.058824,0.030901,0.513731,0.093426,0.066667,0.058824,0,0.002,0,0,0,0,52603,50438,8048,41.176471,46.666667,?,?,?,?
'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1',1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,304,34,1,33,0,2.941176,97.058824,0,-0.003578,0.064682,0.243216,100.382653,135.459068,167.158184,276.793281,-109.635097,4.916417,8.140979,-3.224562,2.79616,0.08224,57.168983,0,0,0.030303,1,0.969697,32,1,1,0,0,0,-0.030303,0.484848,0.029412,0.029412,0.0332,0.9668,0.970588,0.029412,0.029412,0.029412,-0.000268,0.498106,0.064879,0.033333,0.029412,0,0.001,0,0,0,0,52603,50438,8048,41.176471,46.666667,?,?,?,?
'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1',1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,304,34,1,33,0,2.941176,97.058824,0,-0.005376,0.064682,0.243216,100.382653,135.459068,167.158184,276.793281,-109.635097,4.916417,8.140979,-3.224562,3.314221,0.097477,67.761017,0,0,0.060606,2,0.939394,31,1,1,0,0,0,-0.043519,0.469697,0.029412,0.029412,0.035094,0.964906,0.970588,0.014706,0.029412,0.019608,-0.009011,0.497159,0.050173,0.022222,0.029412,0,0.002,0,0,0,0,52603,50438,8048,44.117647,46.666667,?,?,?,?
'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1',1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,304,34,1,33,0,2.941176,97.058824,0,-0.003578,0.064682,0.243216,100.3918,135.47266,167.073512,276.793281,-109.719769,4.913927,8.140979,-3.227052,2.88021,0.084712,58.884596,0,0,0,0,1,32,1,2,0,0,0,0,0.5,0.058824,0.029412,0.032253,0.967747,0.970588,0.029412,0.029412,0.029412,0.003529,0.49858,0.049308,0.016667,0.029412,0.001,0.001,0,0,0,0,52603,50438,8048,47.058824,46.666667,?,?,?,?
'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1',1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,304,34,2,32,0,5.882353,94.117647,0,0.025962,0.062898,0.239519,97.630764,133.426802,166.924036,268.540615,-101.616579,4.90953,7.898253,-2.988723,7.712986,0.226853,157.675837,0,0,0,0,1,32,1,2,0,0,0,0,0.5,0.058824,0.058824,0.032308,0.967692,0.941176,0.068627,0.058824,0.053922,0.033626,0.513258,0.072953,0.038889,0.058824,0.001,0.001,0,0,0,0,52603,50438,8048,47.058824,46.666667,?,?,?,?
'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1',1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,304,34,0,34,0,0,100,0,-0.035842,0.066467,0.246857,103.189938,137.543755,166.590135,285.045946,-118.455811,4.89971,8.383704,-3.483994,-1.54084,-0.045319,-31.490839,0,0,0,0,1,33,1,1,0,0,0,0,0.5,0.029412,0,0.036041,0.963959,1,0,0,0,-0.031645,0.48198,0.038062,0,0,0,0.002,0,0,0,0,52603,50438,8048,41.176471,46.666667,?,?,?,?
'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1',1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,304,34,1,33,0,2.941176,97.058824,0,-0.007181,0.064682,0.243216,100.437557,135.543193,166.290575,276.793281,-110.502706,4.890899,8.140979,-3.25008,3.055443,0.089866,62.4303,0,0,0.090909,3,0.909091,30,1,1,0,0,0,-0.054153,0.454545,0.029412,0.029412,0.036988,0.963012,0.970588,0.029412,0.029412,0.029412,-0.004629,0.496212,0.068339,0.035714,0.029412,0,0.002,0,0,0,0,52603,50438,8048,44.117647,46.666667,?,?,?,?
'leaf-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1',1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,305,33,1,32,0,3.030303,96.969697,0,-0.000948,0.064628,0.243137,100.346442,135.488114,161.512127,268.547183,-107.035055,4.894307,8.137793,-3.243487,2.911097,0.088215,59.485803,0,0,0.0625,2,0.9375,30,1,1,0,0,0,-0.044901,0.46875,0.030303,0.030303,0.030425,0.969575,0.969697,0.060606,0.030303,0.040404,0.018128,0.499939,0.067952,0.02381,0.030303,0.001,0.001,0,0,0,0,52760,50595,7891,51.515152,46.666667,?,?,?,?
