@relation InstanceResultListener

@attribute Key_Dataset {'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.Logistic,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.RBFNetwork,weka.classifiers.trees.J48,weka.classifiers.rules.JRip,weka.classifiers.functions.SMO,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-D,'-R 1.0E-8 -M -1','-L 0.4 -M 0.9 -N 500 -V 0 -S 0 -E 20 -H a','-B 1 -S 1 -R 1.0E-10 -M 3 -W 0.05','-C 0.25 -M 2','-F 3 -N 2.0 -O 2 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"','-P 100 -S 5 -I 15 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {-3080186098777067172,5995231201785697655,3932117032546553727,-5990607817048210779,-3669814959712675720,-217733168393644444,-6589312996832147161,-6585883636378691736,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 7\nSize of the tree: 13\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1',1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,160,18,17,1,0,94.444444,5.555556,0,0.916667,0.044535,0.190868,10.129199,40.672982,28.294049,7.65152,20.642529,1.571892,0.425084,1.146807,25.939757,1.441098,1655.449118,1,6,0,0,1,12,0,0,1,1,1,1,1,1,0.944444,0.021368,0.978632,0.055556,0.953704,0.944444,0.944833,0.921674,0.961538,0.919753,0.944056,0.944444,0,0.001,0,0,0,0,26159,24282,4260,94.444444,33.333333,?,?,?,?
'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1',1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,160,18,17,1,0,94.444444,5.555556,0,0.916279,0.044535,0.190868,10.129199,40.672982,28.294049,7.65152,20.642529,1.571892,0.425084,1.146807,25.939757,1.441098,1655.449118,1,6,0.083333,1,0.916667,11,0,0,0.857143,1,0.923077,0.886405,0.958333,0.857143,0.944444,0.027778,0.972222,0.055556,0.952381,0.944444,0.944444,0.917959,0.958333,0.91843,0.948718,0.944444,0,0.001,0,0,0,0,26159,24282,4260,94.444444,33.333333,?,?,?,?
'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1',1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,160,18,16,2,0,88.888889,11.111111,0,0.833333,0.080891,0.269789,18.397933,57.490562,28.294049,14.982437,13.311612,1.571892,0.832358,0.739534,23.906068,1.328115,1525.661122,1,6,0.166667,2,0.833333,10,0,0,0.75,1,0.857143,0.790569,0.916667,0.75,0.888889,0.055556,0.944444,0.111111,0.916667,0.888889,0.887566,0.843634,0.916667,0.848765,0.896825,0.888889,0,0.001,0,0,0,0,26159,24282,4260,88.888889,33.333333,?,?,?,?
'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1',1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,160,18,16,2,0,88.888889,11.111111,0,0.834101,0.080891,0.269789,18.397933,57.490562,28.294049,14.982437,13.311612,1.571892,0.832358,0.739534,23.906068,1.328115,1525.661122,1,6,0.083333,1,0.916667,11,0,0,0.857143,1,0.923077,0.886405,0.958333,0.857143,0.888889,0.049145,0.950855,0.111111,0.906085,0.888889,0.884292,0.841429,0.919872,0.838183,0.8885,0.888889,0,0.001,0,0,0,0,26159,24282,4260,88.888889,33.333333,?,?,?,?
'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1',1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,160,18,17,1,0,94.444444,5.555556,0,0.916667,0.044535,0.190868,10.129199,40.672982,28.294049,7.65152,20.642529,1.571892,0.425084,1.146807,25.939757,1.441098,1655.449118,1,6,0,0,1,12,0,0,1,1,1,1,1,1,0.944444,0.021368,0.978632,0.055556,0.953704,0.944444,0.944833,0.921674,0.961538,0.919753,0.944056,0.944444,0,0.001,0,0,0,0,26159,24282,4260,94.444444,33.333333,?,?,?,?
'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1',1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,160,18,17,1,0,94.444444,5.555556,0,0.916279,0.044535,0.190868,10.129199,40.672982,28.294049,7.65152,20.642529,1.571892,0.425084,1.146807,25.939757,1.441098,1655.449118,1,6,0.083333,1,0.916667,11,0,0,0.857143,1,0.923077,0.886405,0.958333,0.857143,0.944444,0.027778,0.972222,0.055556,0.952381,0.944444,0.944444,0.917959,0.958333,0.91843,0.948718,0.944444,0,0.001,0,0,0,0,26159,24282,4260,94.444444,33.333333,?,?,?,?
'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1',1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,160,18,18,0,0,100,0,0,1,0.00818,0.008676,1.860465,1.848843,28.294049,0.320603,27.973446,1.571892,0.017811,1.55408,27.973446,1.55408,1785.237113,1,6,0,0,1,12,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.001,0,0,0,0,26159,24282,4260,100,33.333333,?,?,?,?
'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1',1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,160,18,18,0,0,100,0,0,1,0.00818,0.008676,1.860465,1.848843,28.294049,0.320603,27.973446,1.571892,0.017811,1.55408,27.973446,1.55408,1785.237113,1,6,0,0,1,12,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0,0.01,0,10,26159,24282,4260,100,33.333333,?,?,?,?
'wine-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,1',1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150914.0025,161,17,17,0,0,100,0,0,1,0.00813,0.008623,1.867106,1.857776,26.204173,0.300934,25.903239,1.541422,0.017702,1.52372,25.903239,1.52372,1649.565236,1,5,0,0,1,12,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.001,0,0,0,0,26300,24423,4119,100,33.333333,?,?,?,?
